A389020,자람테크놀로지
A083450,GST
A033170,시그네틱스
A396270,넥스트칩
A092870,엑시콘
A086390,유니테스트
A089030,테크윙
A036200,유니셈
A425040,티이엠씨
A114810,한솔아이원스
A445090,에이직랜드
A136660,큐엠씨
A219130,타이거일렉
A330860,네패스아크
A054450,텔레칩스
A232140,와이아이케이
A356860,티엘비
A405100,큐알티
A382800,지앤비에스 에코
A432720,퀄리타스반도체
A122640,예스티
A253590,네오셈
A003160,디아이
A169670,코스텍시스템
A079370,제우스
A119830,아이텍
A067310,하나마이크론
A036810,에프에스티
A200710,에이디테크놀로지
A025560,미래산업
A077500,유니퀘스트
A319660,피에스케이
A095340,ISC
A451220,아이엠티
A402490,그린리소스
A183300,코미코
A399720,가온칩스
A033160,엠케이전자
A011930,신성이엔지
A092070,디엔에프
A323350,다원넥스뷰
A064760,티씨케이
A413300,티엘엔지니어링
A131970,두산테스나
A059120,아진엑스텍
A071280,로체시스템즈
A092220,KEC
A241790,오션브릿지
A452160,제이엔비
A311320,지오엘리먼트
A172670,에이엘티
A033640,네패스
A394280,오픈엣지테크놀로지
A396470,워트
A403870,HPSP
A080580,오킨스전자
A357780,솔브레인
A094360,칩스앤미디어
A170920,엘티씨
A112290,와이씨켐
A445180,퓨릿
A160980,싸이맥스
A417840,저스템
A142210,유니트론텍
A061970,LB세미콘
A031980,피에스케이홀딩스
A074600,원익QnC
A425420,티에프이
A005290,동진쎄미켐
A053610,프로텍
A252990,샘씨엔에스
A094170,동운아나텍
A005930,삼성전자
A146320,비씨엔씨
A089970,에이피티씨
A098120,마이크로컨텍솔
A052860,아이앤씨
A036540,SFA반도체
A412350,레이저쎌
A083310,엘오티베큠
A101160,월덱스
A200470,에이팩트
A052900,KX하이텍
A420770,기가비스
A147760,피엠티
A054940,엑사이엔씨
A303030,지니틱스
A077360,덕산하이메탈
A240810,원익IPS
A376190,LB루셈
A036930,주성엔지니어링
A039440,에스티아이
A093640,케이알엠
A078350,한양디지텍
A000990,DB하이텍
A042700,한미반도체
A089530,에이티세미콘
A096610,알에프세미
A117670,알파홀딩스
A136510,스마트솔루션즈
A149010,아이케이세미콘
A222160,NPX
A254490,미래반도체
A264660,씨앤지하이테크
A006200,한국전자홀딩스
A101490,에스앤에스텍
A232680,라온테크
A084370,유진테크
A131290,티에스이
A417500,제이아이테크
A424980,마이크로투나노
A087600,픽셀플러스
A101400,엔시트론
A217500,러셀
A089790,제이티
A144960,뉴파워프라즈마
A348210,넥스틴
A241770,메카로
A105330,케이엔더블유
A102710,이엔에프테크놀로지
A227950,엔투텍
A089890,코세스
A093520,매커스
A195870,해성디에스
A082270,젬백스
A171010,램테크놀러지
A080220,제주반도체
A045300,성우테크론
A050090,비케이홀딩스
A440110,파두
A024850,HLB이노베이션
A066310,큐에스아이
A039030,이오테크닉스
A322310,오로스테크놀로지
A030530,원익홀딩스
A166090,하나머티리얼즈
A355150,코스텍시스
A029460,케이씨
A058470,리노공업
A000660,SK하이닉스
A306620,네온테크
A429270,시지트로닉스
A080520,오디텍
A402340,SK스퀘어
A064520,테크엘
A064290,인텍플러스
A418420,라온텍
A452430,사피엔반도체
A095610,테스
A097800,윈팩
A140070,서플러스글로벌
A102120,어보브반도체
A224060,더코디
A032580,피델릭스
A217190,제너셈
A365590,하이딥
A123010,아이윈플러스
A281820,케이씨텍
A059090,미코
