0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
"704,646","43,061","43,061","238,414","235,025","3,389","4,484,245","936,749","3,547,496","3,451,861","95,635","8,975",26.41,"38,360.25",6.11,33.35,20.76,27.62,"3,460","50,817",361,,1.09,"5,969,783",0.65
"637,454","6,402","6,402","15,746","14,013","1,733","4,540,918","942,924","3,597,994","3,500,199","97,795","8,975",26.21,"38,898.83",1.00,2.20,1.40,1.61,206,"51,529",361,,1.24,"5,969,783",0.56
"600,055","6,685","6,685","17,236","15,470","1,766","4,480,006","890,249","3,589,756","3,490,424","99,332","8,975",24.80,"38,789.91",1.11,2.58,1.53,1.77,228,"51,385",361,,1.41,"5,969,783",0.50
"674,047","24,335","24,335","58,442","55,013","3,429","4,544,664","905,738","3,638,926","3,536,802","102,125","8,975",24.89,"39,306.65",3.61,8.16,5.18,6.26,810,"52,068",361,,1.31,"5,969,783",0.53
"677,799","28,247","28,247","63,448","60,238","3,209","4,559,060","922,281","3,636,779","3,532,338","104,441","8,975",25.36,"39,256.91",4.17,8.89,5.58,6.82,887,"52,002",361,,1.51,"5,969,783",0.46
"715,093","47,117",,"44,377","43,370",,,,,,,,,,6.59,6.06,3.89,4.91,638,,,,,,
"704,800","64,281",,"62,580","56,787",,,,,,,,,,9.12,8.06,,,836,,,,,,
"790,230","101,128",,"92,433","89,299",,,,,,,,,,12.80,11.30,,,"1,315",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
