,IFRS(연결),Dec-20,Dec-21,Dec-22,Dec-23,전년동기,전년동기(%)
0,매출액,"2,368,070","2,796,048","3,022,314","2,589,355","3,022,314",-14.3
1,매출원가,"1,444,883","1,664,113","1,900,418","1,803,886","1,900,418",-5.1
2,매출총이익,"923,187","1,131,935","1,121,896","785,469","1,121,896",-30
3,판매비와관리비계산에 참여한 계정 펼치기,"563,248","615,596","688,130","719,799","688,130",4.6
4,인건비,"70,429","75,568","80,937","86,239","80,937",6.6
5,유무형자산상각비,"20,857","20,731","22,391","23,381","22,391",4.4
6,연구개발비,"211,115","224,017","249,192","283,397","249,192",13.7
7,광고선전비,"42,690","53,760","61,130","52,139","61,130",-14.7
8,판매비,"114,488","131,185","139,969","125,848","139,969",-10.1
9,관리비,"56,787","61,926","74,579","87,534","74,579",17.4
10,기타원가성비용,,,,,,
11,기타,"46,883","48,409","59,932","61,260","59,932",2.2
12,영업이익,"359,939","516,339","433,766","65,670","433,766",-84.9
13,영업이익(발표기준),"359,939","516,339","433,766","65,670","433,766",-84.9
14,금융수익계산에 참여한 계정 펼치기,"122,676","85,432","208,290","161,001","208,290",-22.7
15,이자수익,"19,745","12,783","27,205","43,580","27,205",60.2
16,배당금수익,,,,,,
17,외환이익,"92,700","65,257","165,379","106,087","165,379",-35.9
18,대손충당금환입액,,,,,,
19,매출채권처분이익,,,,,,
20,당기손익-공정가치측정?금융자산관련이익,,,,,,
21,금융자산처분이익,,,,,,
22,금융자산평가이익,,,,,,
23,금융자산손상차손환입,,,,,,
24,파생상품이익,"10,231","7,392","15,707","11,335","15,707",-27.8
25,기타금융수익,,,,,,
26,금융원가계산에 참여한 계정 펼치기,"113,181","77,046","190,277","126,455","190,277",-33.5
27,이자비용,"5,830","4,315","7,630","9,303","7,630",21.9
28,외환손실,"98,686","64,861","168,097","107,111","168,097",-36.3
29,대손상각비,,,,,,
30,당기손익-공정가치측정?금융자산관련손실,,,,,,
31,매출채권처분손실,,,,,,
32,금융자산처분손실,,,,,,
33,금융자산평가손실,,,,,,
34,금융자산손상차손,,,,,,
35,파생상품손실,"8,665","7,869","14,550","10,042","14,550",-31
36,기타금융원가,,,,,,
37,기타수익계산에 참여한 계정 펼치기,"13,841","22,057","19,621","11,804","19,621",-39.8
38,이자수익,,,,,,
39,배당금수익,"1,524","1,358","4,146","1,642","4,146",-60.4
40,외환이익,,,,,,
41,재고자산감모손실환입,,,,,,
42,재고자산폐기(처분)이익,,,,,,
43,당기손익-공정가치측정?금융자산평가이익,,,,,,
44,자산처분(폐기)이익,"1,542","3,404","1,591","1,047","1,591",-34.2
45,자산평가이익,,,,,,
46,자산손상차손환입,,,,,,
47,파생상품이익,,,,,,
48,임대료수익,"1,471","1,328","1,409","1,503","1,409",6.6
49,로열티수익,,,,,,
50,수수료수익,,,,,,
51,대손충당금환입,,,,,,
52,충당부채환입액,,,,,,
53,기타,"9,303","15,967","12,474","7,613","12,474",-39
54,기타비용계산에 참여한 계정 펼치기,"24,889","20,560","17,902","10,833","17,902",-39.5
55,이자비용,,,,,,
56,외환손실,,,,,,
57,재고자산감모손실,,,,,,
58,재고자산폐기(처분)손실,,,,,,
59,당기손익-공정가치측정?금융자산평가손실,,,,,,
60,자산처분(폐기)손실,877,756,613,858,613,40.1
61,자산평가손실,,,,,,
62,자산손상차손,,,,,,
63,파생상품손실,,,,,,
64,기타대손상각비,,,,,,
65,충당부채전입액,,,,,,
66,기타,"24,012","19,804","17,289","9,975","17,289",-42.3
67,"종속기업,공동지배기업및관계기업관련손익계산에 참여한 계정 펼치기","5,065","7,296","10,906","8,876","10,906",-18.6
68,지분법손익,"5,065","7,296","10,906","8,876","10,906",-18.6
69,"종속기업,공동지배기업및관계기업투자주식처분손익",,,,,,
70,"종속기업,공동지배기업및관계기업투자주식손상관련손익",,,,,,
71,기타,,,,,,
72,세전계속사업이익,"363,451","533,518","464,405","110,063","464,405",-76.3
73,법인세비용,"99,373","134,444","-92,136","-44,808","-92,136",적자지속
74,계속영업이익,"264,078","399,075","556,541","154,871","556,541",-72.2
75,중단영업이익,,,,,,
76,당기순이익,"264,078","399,075","556,541","154,871","556,541",-72.2
77,지배주주순이익,"260,908","392,438","547,300","144,734","547,300",-73.6
78,비지배주주순이익,"3,170","6,637","9,241","10,137","9,241",9.7
