0,1,2,3
2024.01.01.,"美 로봇 관련주 폭락…외국인 韓 테마주에 레인보우로보틱스 '팔고' 두산로보틱스, 유진로봇, 휴림로봇, 이랜시스 '샀다'","유진로봇, 레인보우로보틱스, 휴림로봇, 이랜시스 종목이 속한 지능형로봇/인공지능AI 관련주는 총 49개 종목으로 업종 평균 1.10% 상승했다. 비플라이소프트, 솔트룩스, 마음AI, 모비스, 와이더플래닛, 코난테크놀로지, 알체라, 엠로, 링크제니시스, 핀텔, 네오펙트, LG전자, 로보로보, 엑셈, 유일로보틱스, 셀바스AI, 에브리봇, 오브젠, 바이브컴퍼니, 퍼스텍, 티로보틱스, 위세아이텍, 브레인즈컴퍼니, 휴림로봇, 줌인터넷, 로보스타, 유진로봇, 가온그룹, 데이타솔루션, 삼성에스디에스, 네패스, 에이디칩스, 씨유박스, 큐렉소, 스맥, 영우디에스피, 모아데이타, 오픈베이스 주가가 상승했다. 비플라이소프트, 솔트룩스, 마음AI, 모비스, 와이더플래닛, 코난테크놀로지, 알체라, 엠로, 링크제니시스, 핀텔, 네오펙트, LG전자, 로보로보, 엑셈, 유일로보틱스, 셀바스AI, 에브리봇, 오브젠, 바이브컴퍼니, 퍼스텍, 티로보틱스, 위세아이텍, 브레인즈컴퍼니, 휴림로봇, 줌인터넷, 로보스타, 유진로봇, 가온그룹, 데이타솔루션, 삼성에스디에스, 네패스, 에이디칩스, 씨유박스, 큐렉소, 스맥, 영우디에스피, 모아데이타, 오픈베이스 주가가 상승했다. 한편, 한화에어로스페이스, 한국전자인증, 라온피플 주가가 보합, 러셀, 트윔, 로보티즈, 미래컴퍼니, 인포마크, 알에프세미, 고영, 크라우드웍스 주가가 하락 마감했다. [알림] 본 기사는 투자판단의 참고용이며, 이를 근거로 한 투자손실에 대한 책임은 없습니다.",포인트데일리
2024.01.01.,1위 제주반도체 주가·2위 퀄리타스반도체 주가·3위 삼성전기주가 1월 1주차 테마별 주식 온디바이스 AI 부문 트렌드지수 순위 발표,"3위 삼성전기 주가는 트렌드지수 8,094포인트로 전주 10,510포인트보다 2,416포인트 하락했다. 4위 가온칩스 주가는 트렌드지수 6,805포인트로 전주 3,402포인트보다 3,403포인트 상승했다. 4위 가온칩스 주가는 트렌드지수 6,805포인트로 전주 3,402포인트보다 3,403포인트 상승했다. 5위 대덕전자 주가는 트렌드지수 6,523포인트로 전주 7,306포인트보다 783포인트 하락했다. 6위 HPSP 주가는 트렌드지수 5,776포인트로 전주 6,957포인트보다 1,181포인트 하락했다. 7위 칩스앤미디어 주가는 트렌드지수 5,389포인트로 전주 6,836포인트보다 1,447포인트 하락했다. 8위 텔레칩스 주가는 트렌드지수 4,838포인트로 전주 4,814포인트보다 24포인트 상승했다. 9위 심텍 주가는 트렌드지수 3,571포인트로 전주 4,064포인트보다 493포인트 하락했다. 10위 태성 주가는 트렌드지수 3,376포인트로 전주 6,971포인트보다 3,595포인트 하락했다. 11위 에이디테크놀로지 주가, 12위 네패스 주가, 13위 리노공업 주가, 14위 네패스아크 주가, 15위 주가, 16위 주가, 17위 주가, 18위 주가, 19위 주가, 20위는 주가로 나타났다.",스타데일리뉴스
2024.01.02.,美 초전도체 관련주 급락…韓 'LK-99' 테마주에 외국인·기관 다 '물렸다' 평단가 얼마길래? 신성델타테크·파워로직스·서남·모비스 주가 '희비',"모비스 종목이 속한 지능형로봇/인공지능AI 관련주는 총 49개 종목으로 업종 평균 1.10% 상승했다. 비플라이소프트, 솔트룩스, 마음AI, 모비스, 와이더플래닛, 코난테크놀로지, 알체라, 엠로, 링크제니시스, 핀텔, 네오펙트, LG전자, 로보로보, 엑셈, 유일로보틱스, 셀바스AI, 에브리봇, 오브젠, 바이브컴퍼니, 퍼스텍, 티로보틱스, 위세아이텍, 브레인즈컴퍼니, 휴림로봇, 줌인터넷, 로보스타, 유진로봇, 가온그룹, 데이타솔루션, 삼성에스디에스, 네패스, 에이디칩스, 씨유박스, 큐렉소, 스맥, 영우디에스피, 모아데이타, 오픈베이스 주가가 상승했다. 비플라이소프트, 솔트룩스, 마음AI, 모비스, 와이더플래닛, 코난테크놀로지, 알체라, 엠로, 링크제니시스, 핀텔, 네오펙트, LG전자, 로보로보, 엑셈, 유일로보틱스, 셀바스AI, 에브리봇, 오브젠, 바이브컴퍼니, 퍼스텍, 티로보틱스, 위세아이텍, 브레인즈컴퍼니, 휴림로봇, 줌인터넷, 로보스타, 유진로봇, 가온그룹, 데이타솔루션, 삼성에스디에스, 네패스, 에이디칩스, 씨유박스, 큐렉소, 스맥, 영우디에스피, 모아데이타, 오픈베이스 주가가 상승했다. 한편, 한화에어로스페이스, 한국전자인증, 라온피플 주가가 보합, 러셀, 트윔, 로보티즈, 미래컴퍼니, 인포마크, 알에프세미, 고영, 크라우드웍스 주가가 하락 마감했다. 모비스 종목이 속한 4차산업 수혜주는 총 44개 종목으로 업종 평균 0.85% 상승했다. MDS테크, 우리기술투자, 포스코DX, 모비스, DSC인베스트먼트, KT, SBI인베스트먼트, 롯데정보통신, TS인베스트먼트, LG전자, SK텔레콤, 로보로보, 셀바스AI, 모바일어플라이언스, 삼익THK, 에스넷, LG유플러스, TPC, SK, 휴림로봇, SGA솔루션즈, 로보스타, 삼성에스디에스, 알에스오토메이션, 에이디칩스, 삼성전자, 큐렉소, NAVER, 이스트소프트, 지엔씨에너지, 푸른기술, 오픈베이스, 알서포트  주가가 상승했다. 한편, 비트컴퓨터, 아진엑스텍 주가가 보합, 드림시큐리티, 에이스테크, DH오토웨어, 인피니트헬스케어, 아이엠, 유니퀘스트, 어보브반도체, 대성창투, 휴림네트웍스 주가는 하락해 거래를 마쳤다.",포인트데일리
2024.01.02.,"美 의료용 로봇 관련주 약세…韓 의료 AI 테마주에 기관은 뷰노 '매수' 루닛, 셀바스AI, 랩지노믹스 '매도' 외국인은?","루닛 종목이 속한 2022년 하반기 신규상장주는 총 73개 종목으로 업종 평균 0.88% 상승했다. 인벤티지랩, 뉴로메카, 에이프릴바이오, 윤성에프앤씨, 오에스피, 알피바이오, 샤페론, 코난테크놀로지, 에스비비테크, 핑거스토리, 넥스트칩, 신스틸, 디티앤씨알오, 바이오노트, 핀텔, 키움제7호스팩, 비엔케이제1호스팩, 엔에이치스팩24호, KB스타리츠, 케이비제22호스팩, 쏘카, 산돌, 큐알티, 유비온, 한화플러스제3호스팩, 한국제11호스팩, 하나금융24호스팩, 비스토스, 탑머티리얼, 티쓰리, IBKS제20호스팩, 제이아이테크, 아이씨에이치, 엔에이치스팩26호, 삼성스팩7호, 대성하이텍, IBKS제19호스팩, 수산인더스트리, IBKS제21호스팩, 와이씨켐, 벨로크 주가가 상승했다. 반면, 유진스팩9호, 대신밸런스제14호스팩, 성일하이텍 주가가 보합, 대신밸런스제13호스팩, 엔에이치스팩25호, 에스케이증권제8호스팩 종목은 거래가 없었고, 모델솔루션, 더블유씨피, 옵티코어, 신영스팩8호, 교보13호스팩, 하나금융23호스팩, 플라즈맵, 이노룰스, 저스템, 티에프이, 에이치와이티씨, 오픈엣지테크놀로지, 루닛, HPSP, 펨트론 주가가 하락 마감했다. 2022년 상반기 신규상장주는 총 48개 종목으로 업종 평균 1.46% 상승했다. 비플라이소프트, 스톤브릿지벤처스, 미래에셋비전스팩1호, 케이옥션, 청담글로벌, 보로노이, 범한퓨얼셀, 노을, 지투파워, 스코넥, 하나금융22호스팩, 공구우먼, 오토앤, 하나금융21호스팩, 인카금융서비스, LG에너지솔루션, 유일로보틱스, 상상인제3호스팩, 엔에이치스팩23호, 세아메카닉스, 비씨엔씨, 포바이포, 이지트로닉스, 풍원정밀, 대명에너지, 마스턴프리미어리츠, 바이오에프디엔씨, 키움제6호스팩, 애드바이오텍, 케이비제21호스팩, 브이씨, 나래나노텍, 교보12호스팩, 모아데이타 주가가 상승했다. 반면, 코람코더원리츠, 삼성스팩6호 주가가 보합, 신한제9호스팩, DB금융스팩10호, 유진스팩8호, 신영스팩7호, 위니아에이드, 종목은 거래가 없었고, 레이저쎌, 아셈스, 퓨런티어, 가온칩스, 메쎄이상 주가가 하락해 거래를 마쳤다. 반면, 코람코더원리츠, 삼성스팩6호 주가가 보합, 신한제9호스팩, DB금융스팩10호, 유진스팩8호, 신영스팩7호, 위니아에이드, 종목은 거래가 없었고, 레이저쎌, 아셈스, 퓨런티어, 가온칩스, 메쎄이상 주가가 하락해 거래를 마쳤다.",포인트데일리
2024.01.02.,"삼성전자 지금 올라타도 될까?...외국인, 삼성전자 순매수액 역대 최대치",[],핀포인트뉴스
2024.01.02.,"스톤브릿지벤처스, 1825억 새 펀드 결성...""딥테크 투자 확대”","이번에 결성된 스톤브릿지신성장4.0투자조합은 한국산업은행, 한국성장금융 등 국내 주요 유한책임투자자(LP)들이 다수 참여했다. 출자는 결정했으나 행정적인 절차로 인해 1차 클로징에 참여하지 못한 국민연금 등 LP들을 모아 올해 초 2차 클로징을 통해 펀드 규모를 증액한다는 계획이다. 정부의 신성장 4.0 전략과 15대 핵심 프로젝트의 핵심 기술영역인 ▲반도체 ▲모빌리티 ▲AI/DATA ▲친환경에너지 ▲바이오헬스케어 등 5대 영역으로, 스톤브릿지벤처스가 다년간 성과를 보여온 이른바 ‘딥테크’ 영역에 집중 투자할 계획이다. 특히 이번 스톤브릿지신성장4.0투자조합은 회사의 메인펀드로서 검증된 기업을 중심으로 규모있는 투자를 통해 스케일업을 주도하는 한편, 지난 10월에 결성된 600억원 규모의 초기기업 전용 펀드인 IBK-스톤브릿지라이징제2호투자조합과 함께 피투자기업의 유기적인 성장을 이끌어 펀드 운용 수익률을 극대화 한다는 방침이다. 대표펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 시그니처 딜인 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 엑싯을 주도했었다. 핵심운용인력으로는 IT Tech 및 바이오 등 다방면의 혁신기술 투자 강점을 가진 이승현 상무, 바이오?헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다. 대표펀드매니저와 핵심운용인력 모두 다년간 압도적인 투자/회수 실적을 쌓아왔고 기술과 시장에 대한 인사이트, 오랜 산업계 경력과 풍부한 SI 네트워크, 피투자기업을 글로벌 기업으로 스케일업 하는데에 대한 많은 경험을 보유하고 있다고 판단된다. 대표펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 시그니처 딜인 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 엑싯을 주도했었다. 핵심운용인력으로는 IT Tech 및 바이오 등 다방면의 혁신기술 투자 강점을 가진 이승현 상무, 바이오?헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다. 대표펀드매니저와 핵심운용인력 모두 다년간 압도적인 투자/회수 실적을 쌓아왔고 기술과 시장에 대한 인사이트, 오랜 산업계 경력과 풍부한 SI 네트워크, 피투자기업을 글로벌 기업으로 스케일업 하는데에 대한 많은 경험을 보유하고 있다고 판단된다.",지디넷코리아언론사 선정
2024.01.02.,"스톤브릿지벤처스, 1825억 딥테크 투자 실탄 '장전'","대표 펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 시그니처 딜인 수아랩, 가온칩스, 오픈엣지테크놀로지 투자와 회수를 주도했다. 핵심 운용인력으로는 이승현·김현기 상무가 참여한다. 운용인력 모두 다년간 압도적인 투자·회수 실적을 쌓아온 것은 물론, 풍부한 네트워크와 통찰력을 갖고 있다는 게 스톤브릿지벤처스의 설명이다. 대표 펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 시그니처 딜인 수아랩, 가온칩스, 오픈엣지테크놀로지 투자와 회수를 주도했다. 핵심 운용인력으로는 이승현·김현기 상무가 참여한다. 운용인력 모두 다년간 압도적인 투자·회수 실적을 쌓아온 것은 물론, 풍부한 네트워크와 통찰력을 갖고 있다는 게 스톤브릿지벤처스의 설명이다. 최동열 파트너는 ""이번 신성장 펀드의 5대 주목적 투자 분야는 앞서 정부가 발표한 '신성장 4.0 전략'의 핵심 키워드로 스톤브릿지벤처스가 가장 잘 알고 있고, 다년간 성과를 냈던 분야""라며 ""이번 펀드에서도 더욱 성공적인 시그니처 딜을 발굴·투자할 계획이다""고 밝혔다. 유승운 스톤브릿지벤처스 대표이사는 ""어려운 시기에도 회사를 믿고 출자를 해준 LP들께 감사드리며 앞으로도 우수한 운용실적과 모범적인 운용으로 그 믿음에 보답하겠다""고 말했다.",딜사이트
2024.01.02.,"[마켓인]스톤브릿지벤처스, 신규 펀드 1825억 규모 1차 클로징","        대표 펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스에서 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 엑싯을 주도한 바 있다. 핵심운용인력으로는 IT 테크 및 바이오 등 다방면의 혁신기술 투자 강점을 가진 이승현 상무, 바이오·헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다. 최동열 파트너는 “이번 펀드의 5대 주목적 분야는 지난 2022년 말 정부에서 발표한 신성장 4.0 전략의 핵심 키워드”라며 “이는 스톤브릿지벤처스가 가장 잘 알고 있고 다년간 성과를 내 왔던 산업분야로, 더욱 성공적인 시그니처 딜들을 발굴하고 투자할 계획이다”라고 전했다.         대표 펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스에서 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 엑싯을 주도한 바 있다. 핵심운용인력으로는 IT 테크 및 바이오 등 다방면의 혁신기술 투자 강점을 가진 이승현 상무, 바이오·헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다. 최동열 파트너는 “이번 펀드의 5대 주목적 분야는 지난 2022년 말 정부에서 발표한 신성장 4.0 전략의 핵심 키워드”라며 “이는 스톤브릿지벤처스가 가장 잘 알고 있고 다년간 성과를 내 왔던 산업분야로, 더욱 성공적인 시그니처 딜들을 발굴하고 투자할 계획이다”라고 전했다.",이데일리
2024.01.02.,"스톤브릿지, 신규펀드 1825억원 규모 결성…""딥테크 영역에 집중 투자""","스톤브릿지벤처스는 1825억원 규모의 신규 펀드 결성에 성공했다고 2일 밝혔다. 펀딩 혹한기에도 불구하고 2023년에 2개 신규 펀드 결성으로 투자재원을 2425억원 늘려 잠재력 있는 딥테크 영역에 선제적 투자를 확대한다는 계획이다.스톤브릿지벤처스는 작년 12월28일 결성총회를 열고 1825억원 규모의 '스톤브릿지신성장4.0투자조합'의 1차 결성을 마무리했다. 이로서 운용자산(AUM)은 1조3000억 수준으로 확대되며 회사 실적의 안정성도 한층 높아질 전망이다.  이번에 결성된 '스톤브릿지신성장4.0투자조합'은 한국산업은행, 한국성장금융 등 국내 주요 출자자(LP)들이 다수 참여했다. 행정적인 절차로 인해 1차 클로징에 참여하지 못한 국민연금 등 LP들을 모아 올해 초에 2차 클로징을 통해 펀드 규모를 증액할 예정이다.정부의 신성장 4.0 전략과 15대 핵심 프로젝트의 핵심 기술영역인 ▲반도체 ▲모빌리티 ▲AI/DATA ▲친환경에너지 ▲바이오헬스케어 등 5대 영역이다. 스톤브릿지벤처스가 다년간 성과를 보여오고 있는 이른바 딥테크 영역에 집중 투자할 계획이다.이번 스톤브릿지신성장4.0투자조합은 회사의 메인펀드로서 검증된 기업을 중심으로 규모있는 투자를 통해 스케일업을 주도한다. 또 작년 10월에 결성된 600억원 규모의 초기기업 전용 펀드인 IBK-스톤브릿지라이징제2호투자조합과 함께 피투자기업의 유기적인 성장을 이끌어 펀드 운용 수익률을 극대화 한다는 방침이다.  대표펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 시그니처 딜인 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 엑시트를 주도했다. 핵심운용인력으로는 IT 테크 및 바이오 등 다방면의 혁신기술 투자 강점을 가진 이승현 상무, 바이오?헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다. 대표펀드매니저와 핵심운용인력 모두 다년간 압도적인 투자·회수 실적을 쌓아왔다. 기술과 시장에 대한 인사이트, 오랜 산업계 경력과 풍부한 SI 네트워크, 피투자기업을 글로벌 기업으로 스케일업 하는데에 대한 많은 경험을 보유하고 있다고 판단된다.최동열 파트너는 “금번 펀드의 5대 주목적 분야는 ‘22년말 정부에서 발표한 신성장 4.0 전략의 핵심 키워드이며, 스톤브릿지벤처스가 가장 잘 알고 있고 다년간 성과를 내 왔던 산업분야""라며 ""금번 펀드에서도 5대 분야에서 더욱 성공적인 시그니처딜들을 발굴 및 투자할 계획이”라고 말했다.유승운 대표는 “어려운 시기에도 회사를 믿고 출자를 해준 LP들께 감사드리며 앞으로도 우수한 운용실적과 모범적인 운용으로 그 믿음에 보답 드리겠다” 라고 강조했다.  대표펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 시그니처 딜인 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 엑시트를 주도했다. 핵심운용인력으로는 IT 테크 및 바이오 등 다방면의 혁신기술 투자 강점을 가진 이승현 상무, 바이오?헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다. 대표펀드매니저와 핵심운용인력 모두 다년간 압도적인 투자·회수 실적을 쌓아왔다. 기술과 시장에 대한 인사이트, 오랜 산업계 경력과 풍부한 SI 네트워크, 피투자기업을 글로벌 기업으로 스케일업 하는데에 대한 많은 경험을 보유하고 있다고 판단된다.최동열 파트너는 “금번 펀드의 5대 주목적 분야는 ‘22년말 정부에서 발표한 신성장 4.0 전략의 핵심 키워드이며, 스톤브릿지벤처스가 가장 잘 알고 있고 다년간 성과를 내 왔던 산업분야""라며 ""금번 펀드에서도 5대 분야에서 더욱 성공적인 시그니처딜들을 발굴 및 투자할 계획이”라고 말했다.유승운 대표는 “어려운 시기에도 회사를 믿고 출자를 해준 LP들께 감사드리며 앞으로도 우수한 운용실적과 모범적인 운용으로 그 믿음에 보답 드리겠다” 라고 강조했다.  유현석 기자 guspower@asiae.co.kr",아시아경제
2024.01.02.,"스톤브릿지벤처스, 1825억 규모 딥테크 투자 펀드 결성 [시그널]","   viewer 스톤브릿지벤처스(330730) 재무분석차트영역상세보기가 신규 펀드 결성에 성공하면서 회사의 전제 운용자산(AUM) 규모를 1조 3000억 원 수준으로 확대했다. 앞으로 인공지능(AI), 반도체 등 딥테크 분야에 대한 적극적인 투자에 나설 계획이다.스톤브릿지벤처스는 지난해 12월 28일 결성총회를 열고 약정액 1825억 원의 '스톤브릿지신성장4.0투자조합(신성장4.0펀드)' 조성을 완료했다고 2일 밝혔다. 이로써 스톤브릿지벤처스는 기존 펀드를 포함해 투자 재원 2425억 원을 확보했다.신성장4.0펀드에는 한국산업은행을 비롯해 한국성장금융 등이 주요 출자자로 참여했다. 스톤브릿지벤처스는 조만간 국민연금공단 등이 참여하는 2차 결성을 통해 이 펀드의 약정액 규모를 2000억 원 중반대로 확대할 계획이다. 스톤브릿지벤처스는 펀드 약정액 대부분을 딥테크 분야 투자에 투입할 계획이다. 정부의 신성장 4.0 전략과 15대 핵심 프로젝트의 기술영역인 △반도체 △모빌리티 △AI·DATA △친환경에너지 △바이오헬스케어 등 5대 영역을 주요 투자 분야로 설정했다. 대표펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 대표적인 성공 사례인 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 투자금 회수를 주도한 인물이다. 핵심운용인력으로는 혁신기술 투자 강점을 가진 이승현 상무와 바이오∙헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다.최 파트너는 ""이번 펀드의 5대 주목적 분야는 정부에서 발표한 신성장 4.0 전략의 핵심 키워드이며, 스톤브릿지가 가장 잘 알고 있고 다년간 성과를 내 왔던 산업분야""라며 ""앞으로 더욱 성공적인 투자처 발굴과 투자를 진행할 계획""이라고 밝혔다.유승운 스톤브릿지벤처스 대표는 “어려운 시기에도 회사를 믿고 출자를 해준 출자자들에게 감사하다""며 “앞으로도 우수한 운용실적과 모범적인 운용으로 보답하겠다”라고 강조했다.    viewer 스톤브릿지벤처스(330730) 재무분석차트영역상세보기가 신규 펀드 결성에 성공하면서 회사의 전제 운용자산(AUM) 규모를 1조 3000억 원 수준으로 확대했다. 앞으로 인공지능(AI), 반도체 등 딥테크 분야에 대한 적극적인 투자에 나설 계획이다.스톤브릿지벤처스는 지난해 12월 28일 결성총회를 열고 약정액 1825억 원의 '스톤브릿지신성장4.0투자조합(신성장4.0펀드)' 조성을 완료했다고 2일 밝혔다. 이로써 스톤브릿지벤처스는 기존 펀드를 포함해 투자 재원 2425억 원을 확보했다.신성장4.0펀드에는 한국산업은행을 비롯해 한국성장금융 등이 주요 출자자로 참여했다. 스톤브릿지벤처스는 조만간 국민연금공단 등이 참여하는 2차 결성을 통해 이 펀드의 약정액 규모를 2000억 원 중반대로 확대할 계획이다. 스톤브릿지벤처스는 펀드 약정액 대부분을 딥테크 분야 투자에 투입할 계획이다. 정부의 신성장 4.0 전략과 15대 핵심 프로젝트의 기술영역인 △반도체 △모빌리티 △AI·DATA △친환경에너지 △바이오헬스케어 등 5대 영역을 주요 투자 분야로 설정했다. 대표펀드매니저는 최동열 파트너가 맡는다. 최 파트너는 스톤브릿지벤처스의 대표적인 성공 사례인 수아랩, 가온칩스, 오픈엣지테크놀로지의 투자와 투자금 회수를 주도한 인물이다. 핵심운용인력으로는 혁신기술 투자 강점을 가진 이승현 상무와 바이오∙헬스케어 영역의 투자를 주도해온 김현기 상무가 참여한다.최 파트너는 ""이번 펀드의 5대 주목적 분야는 정부에서 발표한 신성장 4.0 전략의 핵심 키워드이며, 스톤브릿지가 가장 잘 알고 있고 다년간 성과를 내 왔던 산업분야""라며 ""앞으로 더욱 성공적인 투자처 발굴과 투자를 진행할 계획""이라고 밝혔다.유승운 스톤브릿지벤처스 대표는 “어려운 시기에도 회사를 믿고 출자를 해준 출자자들에게 감사하다""며 “앞으로도 우수한 운용실적과 모범적인 운용으로 보답하겠다”라고 강조했다.                                     < 저작권자 ⓒ 서울경제, 무단 전재 및 재배포 금지 >",서울경제
